id,latitude,longitude,start,end,tot_start,tot_end
428515,35.281900,-84.817800,17:03:28.2,19:58:34.8,18:32:36.3,18:34:37.8
428516,35.267200,-84.827100,17:03:27.7,19:58:35.5,18:32:38.6,18:34:35.7
428522,35.185000,-84.906800,17:03:21.4,19:58:36.7,18:32:57.1,18:34:11.9
428527,35.195400,-84.883300,17:03:23.9,19:58:37.8,18:32:53.8,18:34:19.1
428533,35.332900,-84.756000,17:03:33.8,19:58:35.2,18:32:31.7,18:34:48.7
428541,35.317100,-84.798100,17:03:29.0,19:58:33.0,18:32:31.1,18:34:41.8
428543,35.152200,-84.946600,17:03:17.8,19:58:36.4,18:33:14.9,18:33:49.8
428548,35.206700,-84.870700,17:03:25.0,19:58:37.8,18:32:50.8,18:34:23.3
428552,35.148900,-84.957600,17:03:16.5,19:58:35.8,18:33:20.1,18:33:42.4
428553,35.319400,-84.793300,17:03:29.5,19:58:33.2,18:32:31.1,18:34:42.6
428554,35.327700,-84.764500,17:03:32.9,19:58:34.9,18:32:31.9,18:34:47.4
428555,35.289100,-84.815800,17:03:28.1,19:58:34.3,18:32:35.1,18:34:38.3
428556,35.166300,-84.928400,17:03:19.5,19:58:36.6,18:33:05.2,18:34:01.7
428560,35.325100,-84.782700,17:03:30.6,19:58:33.5,18:32:30.9,18:34:44.4
428566,35.304100,-84.807900,17:03:28.4,19:58:33.4,18:32:32.8,18:34:40.0
428570,35.339900,-84.753500,17:03:33.7,19:58:34.7,18:32:30.8,18:34:49.1
428571,35.376000,-84.734000,17:03:34.5,19:58:32.7,18:32:26.8,18:34:51.7
428574,35.326400,-84.774700,17:03:31.6,19:58:34.1,18:32:31.3,18:34:45.7
428583,35.228400,-84.855000,17:03:26.0,19:58:37.0,18:32:45.7,18:34:28.5
428584,35.304600,-84.808800,17:03:28.2,19:58:33.3,18:32:32.6,18:34:39.8
430543,39.128100,-94.677200,16:41:06.8,19:35:45.7,18:08:25.3,18:08:52.3
430546,39.152800,-94.652000,16:41:09.4,19:35:46.4,18:08:09.8,18:09:11.5
430548,39.145200,-94.656400,16:41:09.0,19:35:46.5,18:08:13.3,18:09:07.8
430550,39.121900,-94.677600,16:41:06.9,19:35:46.2,18:08:32.3,18:08:45.6
430553,39.146900,-94.665700,16:41:07.9,19:35:45.4,18:08:12.7,18:09:05.9
430554,39.142000,-94.671600,16:41:07.3,19:35:45.1,18:08:15.4,18:09:02.2
430555,39.139500,-94.675500,16:41:06.9,19:35:44.9,18:08:17.0,18:08:59.9
430557,39.072000,-94.379000,16:41:41.5,19:36:23.1,18:08:43.2,18:09:54.5
430558,39.060000,-94.371600,16:41:42.5,19:36:24.9,18:08:47.8,18:09:53.0
430559,39.048800,-94.365100,16:41:43.4,19:36:26.6,18:08:52.5,18:09:51.2
430560,39.095800,-94.577900,16:41:18.5,19:35:59.4,18:08:37.7,18:09:08.1
430561,39.096200,-94.584300,16:41:17.8,19:35:58.6,18:08:38.3,18:09:05.8
430565,39.014600,-94.356600,16:41:44.8,19:36:30.5,18:09:12.7,18:09:36.6
