id,latitude,longitude
1,35.685000,139.751000
2,43.352300,-73.689800
3,35.685000,139.751000
4,35.685000,139.751000
5,34.816700,134.700000
6,35.685000,139.751000
7,34.686400,135.520000
8,35.685000,139.751000
12,35.685000,139.751000
32,40.375600,-74.659700
33,40.375600,-74.659700
34,40.375600,-74.659700
35,40.375600,-74.659700
36,40.375600,-74.659700
37,42.380400,-72.523100
38,42.380400,-72.523100
39,42.380400,-72.523100
40,42.380400,-72.523100
42,40.731700,-73.988500
43,40.731700,-73.988500
65,43.154800,-77.615600
66,44.660900,-74.925800
67,21.326700,-157.817000
69,46.533300,6.666700
70,46.533300,6.666700
72,30.652100,-96.341000
77,42.345100,-71.099300
78,47.660600,-122.292000
87,52.200000,0.116700
88,42.448500,-76.480400
112,43.722600,-72.134200
113,44.622400,-63.573600
116,49.416700,8.700000
118,38.833600,-76.877700
119,42.652300,-71.350600
120,36.083300,140.117000
123,-34.233300,140.567000
127,42.285700,-71.829200
128,61.500000,23.750000
129,57.716700,11.966700
130,57.716700,11.966700
131,40.846700,-74.200000
132,47.000000,8.000000
133,52.200000,0.116700
134,52.200000,0.116700
135,52.200000,0.116700
136,52.200000,0.116700
137,52.200000,0.116700
138,52.200000,0.116700
139,52.200000,0.116700
140,52.200000,0.116700
141,39.000700,-76.973000
142,48.200000,16.366700
143,51.500000,-3.200000
144,25.039200,121.525000
146,45.765500,4.875500
149,51.533300,9.933300
150,51.450000,7.016700
152,64.837800,-147.716000
153,41.808000,-72.251000
154,41.808000,-72.251000
158,-33.861500,151.206000
159,48.739500,-122.481000
160,43.995700,-73.159600
161,42.380000,-71.132900
176,40.807700,-77.861400
177,40.807700,-77.861400
178,40.807700,-77.861400
179,40.807700,-77.861400
180,-33.450000,-70.666700
183,29.045300,-81.397600
184,22.283300,114.150000
185,41.053000,-76.470100
186,19.233300,-103.717000
188,42.817500,-75.548300
192,39.977400,-75.145200
193,39.977400,-75.145200
194,42.345100,-71.099300
195,64.136000,-21.920300
196,65.000000,-18.000000
197,64.136000,-21.920300
198,54.911900,-1.383300
201,62.000000,10.000000
202,36.695300,137.211000
204,45.800000,16.000000
205,43.359000,-2.666400
206,43.359000,-2.666400
207,51.750000,-1.250000
208,51.750000,-1.250000
209,51.750000,-1.250000
210,51.750000,-1.250000
211,51.750000,-1.250000
212,51.750000,-1.250000
214,43.149900,-75.584800
215,48.343200,-116.454000
216,3.150000,101.767000
217,47.333300,13.333300
218,49.750000,15.500000
219,46.731500,7.669000
220,35.685000,139.751000
221,56.000000,10.000000
222,-34.587500,-58.672500
223,60.600000,15.633300
224,45.550000,10.250000
225,50.376100,-4.163200
227,29.830100,-95.473900
230,62.000000,15.000000
231,47.000000,8.000000
232,47.300000,11.066700
233,62.000000,10.000000
234,42.833300,12.833300
235,59.000000,26.000000
236,47.133300,9.516700
237,52.200000,0.116700
238,52.200000,0.116700
239,47.000000,8.000000
240,62.000000,15.000000
241,47.333300,13.333300
242,66.383300,23.666700
243,64.000000,26.000000
244,63.833300,20.250000
245,62.000000,15.000000
246,47.333300,13.333300
247,62.000000,15.000000
248,59.333300,14.116700
249,48.860000,2.350000
250,64.000000,26.000000
251,47.000000,8.000000
252,55.037500,-1.468100
253,68.650000,27.600000
254,50.716700,10.450000
255,49.750000,15.500000
256,51.500000,-0.130000
257,69.650000,19.016700
258,60.000000,100.000000
259,67.200000,23.366700
260,52.000000,20.000000
261,43.285400,5.376100
262,43.000000,25.000000
263,45.166700,15.500000
264,42.466700,14.216700
265,62.000000,15.000000
266,47.800000,13.033300
267,62.000000,15.000000
277,46.110700,-118.308000
278,19.430000,-99.130000
279,21.166700,-86.833300
280,35.690000,139.690000
281,35.690000,139.690000
282,34.800000,135.350000
283,35.690000,139.690000
284,-37.783300,175.283000
285,35.690000,139.690000
286,35.690000,139.690000
288,37.270700,-76.707500
289,49.304200,-123.065000
296,28.337200,-82.258400
298,43.048100,-76.147400
302,26.371100,-81.773300
304,26.142000,-81.794800
308,59.250000,18.083300
309,35.690000,139.690000
310,35.690000,139.690000
311,35.690000,139.690000
312,35.690000,139.690000
313,35.690000,139.690000
314,35.690000,139.690000
315,25.039200,121.525000
316,47.000000,8.000000
317,52.500000,5.750000
318,28.091600,-17.113300
319,40.450000,-3.689200
320,48.390800,-4.486200
321,60.000000,100.000000
322,42.450000,14.133300
323,40.000000,-4.000000
324,52.847500,8.046200
325,51.500000,-0.130000
326,52.460700,4.648300
327,53.550000,10.000000
328,51.000000,9.000000
329,59.000000,26.000000
330,51.761100,18.091000
331,47.494200,9.342500
332,53.586900,10.117500
333,53.586900,10.117500
334,49.750000,15.500000
335,46.948600,7.620400
336,64.000000,26.000000
337,47.000000,8.000000
338,28.466700,-16.400000
339,40.574700,-3.925300
341,53.550000,-113.500000
342,30.388000,-87.719900
348,40.650100,-73.949600
350,41.280800,-75.896200
354,37.434800,-77.055900
355,37.434800,-77.055900
356,37.434800,-77.055900
357,37.434800,-77.055900
358,36.819000,-76.274900
359,36.846800,-76.285200
361,61.218100,-149.900000
363,52.500000,5.750000
364,48.860000,2.350000
365,65.000000,-18.000000
366,47.000000,8.000000
367,48.200000,16.366700
368,60.000000,100.000000
369,51.000000,9.000000
370,51.000000,9.000000
371,47.000000,20.000000
372,51.450000,7.016700
373,62.000000,10.000000
374,51.000000,9.000000
375,51.000000,9.000000
376,48.581100,8.009800
377,35.690000,139.690000
378,35.716700,140.650000
379,35.690000,139.690000
380,35.690000,139.690000
381,35.690000,139.690000
382,35.690000,139.690000
383,35.690000,139.690000
384,35.685000,139.751000
385,35.690000,139.690000
386,35.690000,139.690000
387,35.690000,139.690000
388,35.685000,139.751000
389,35.447800,139.643000
390,35.690000,139.690000
391,35.690000,139.690000
392,35.685000,139.751000
393,35.685000,139.751000
396,36.323500,-75.930400
397,36.323500,-75.930400
399,46.171000,-88.737100
400,27.000000,30.000000
401,47.366700,8.564400
402,63.283300,9.100000
